Línea,Terminales,Longitud,Estaciones,Gálibo,Andén
,Pinar de Chamartín – Valdecarros,"20,8 km",31,estrecho,90 m
,Las Rosas – Cuatro Caminos,14 km,20,estrecho,60 m
,Villaverde Alto – Moncloa,"16,4 km",18,estrecho,90 m
,Argüelles – Pinar de Chamartín,16 km,23,estrecho,60 m
,Alameda de Osuna – Casa de Campo,"23,2 km",32,estrecho,90 m
,Circular,"23,5 km",28,ancho,115 m
,Hospital de Henares – Pitis,"31,2 km",29,ancho,115 m
,Nuevos Ministerios – Aeropuerto T4,"16,5 km",8,ancho,115 m
,Paco de Lucía – Arganda del Rey,"38,0 km",26,ancho,115 m
,Hospital Infanta Sofía – Puerta del Sur,"39,9 km",31,ancho,115 m
,Plaza Elíptica – La Fortuna,"5,3 km",7,ancho,115 m
,MetroSur (Circular),"40,7 km",28,ancho,115 m
,Ópera – Príncipe Pío,"1,1 km",2,estrecho,60 m
TOTAL (13 líneas),,"285,1 km",278,—,—
